,AAGR_birth,AAGR_married,영유아/정원,평균소득,cluster,행정구,행정동,행정구역코드,행정기관코드
0,-0.26,-0.24,6.48,8492.84,0,강남구,개포1동,11230680,1168066000
1,0.51,0.18,4.88,9551.994999999999,0,강남구,개포2동,11230800,1168067000
2,0.05,0.0,1.72,8492.84,3,강남구,개포4동,11230710,1168069000
3,-0.08,-0.09,1.86,10956.943333333335,3,강남구,세곡동,11230760,1168070000
4,-0.16,0.06,0.98,11959.76,3,강남구,일원1동,11230730,1168073000
5,-0.01,0.11,1.92,10875.76,3,강남구,일원2동,11230740,1168074000
6,-0.04,-0.16,2.1,11959.76,3,강남구,일원본동,11230720,1168072000
7,0.35,0.01,2.07,5334.875,2,강동구,강일동,11250750,1174051500
8,-0.18,-0.16,2.92,7281.59,2,강동구,고덕1동,11250550,1174055000
9,1.25,0.62,3.11,7281.59,0,강동구,고덕2동,11250560,1174056000
10,-0.09,-0.06,1.78,6449.34,2,강동구,길동,11250740,1174068500
11,-0.02,0.04,2.03,5761.6,2,강동구,둔촌2동,11250710,1174070000
12,0.33,0.12,2.78,6783.31,0,강동구,명일1동,11250530,1174053000
13,-0.15,0.09,2.69,6783.31,2,강동구,명일2동,11250540,1174054000
14,1.49,-0.03,4.15,6056.72,0,강동구,상일1동,11250760,1174052500
15,-0.12,-0.1,1.3,6010.61,2,강동구,성내2동,11250660,1174065000
16,-0.17,0.18,1.32,6010.61,2,강동구,성내3동,11250670,1174066000
17,-0.13,-0.12,1.38,6043.68,2,강동구,암사1동,11250720,1174057000
18,-0.0,-0.05,2.0,6043.68,2,강동구,암사2동,11250580,1174058000
19,-0.09,-0.01,2.6,6043.68,2,강동구,암사3동,11250590,1174059000
20,-0.04,-0.15,1.3,5327.28,2,강동구,천호1동,11250610,1174060000
21,-0.02,0.11,1.58,5327.28,2,강동구,천호2동,11250730,1174061000
22,-0.09,-0.1,1.55,5327.28,2,강동구,천호3동,11250630,1174062000
23,-0.25,-0.15,1.4,3467.21,4,강북구,미아동,11090700,1130553500
24,-0.22,-0.15,1.2,3640.1,4,강북구,번1동,11090600,1130559500
25,-0.23,-0.08,1.18,3640.1,4,강북구,번2동,11090610,1130560300
26,-0.07,-0.06,1.71,3640.1,4,강북구,번3동,11090620,1130560800
27,-0.03,-0.16,1.93,3467.21,4,강북구,삼각산동,11090730,1130557500
28,-0.08,-0.12,1.33,3467.21,4,강북구,삼양동,11090690,1130553400
29,0.07,0.04,1.69,3467.21,4,강북구,송중동,11090710,1130554500
30,-0.12,-0.18,1.68,3467.21,4,강북구,송천동,11090720,1130555500
31,-0.09,-0.15,0.87,3657.81,4,강북구,수유1동,11090630,1130561500
32,-0.06,-0.2,1.3,3657.81,4,강북구,수유2동,11090640,1130562500
33,-0.16,-0.1,1.13,3657.81,4,강북구,수유3동,11090650,1130563500
34,-0.04,-0.05,0.93,3668.815,4,강북구,우이동,11090740,1130564500
35,-0.09,-0.11,3.48,3657.81,1,강북구,인수동,11090750,1130566000
36,-0.02,-0.07,1.02,5241.12,2,강서구,가양2동,11160650,1150060400
37,-0.08,-0.15,1.83,5241.12,2,강서구,가양3동,11160660,1150060500
38,-0.08,-0.11,2.12,5654.74,2,강서구,등촌1동,11160520,1150052000
39,-0.12,-0.04,2.3,5654.74,2,강서구,등촌2동,11160530,1150053000
40,-0.11,-0.17,2.05,5186.150000000001,2,강서구,방화1동,11160700,1150063000
41,-0.0,0.02,1.83,5123.665,2,강서구,방화2동,11160710,1150064000
42,-0.15,-0.11,1.33,4573.18,4,강서구,방화3동,11160720,1150064100
43,0.02,0.06,2.19,5247.045,2,강서구,염창동,11160510,1150051000
44,-0.11,-0.39,2.59,5000.365,2,강서구,우장산동,11160740,1150061500
45,-0.14,-0.08,1.62,4585.7,4,강서구,화곡본동,11160550,1150059000
46,-0.18,0.13,2.04,4585.7,4,강서구,화곡1동,11160730,1150054000
47,-0.22,-0.12,1.4,4585.7,4,강서구,화곡2동,11160570,1150055000
48,-0.14,-0.11,1.64,4585.7,4,강서구,화곡3동,11160580,1150056000
49,-0.18,-0.17,1.17,4585.7,4,강서구,화곡4동,11160590,1150057000
50,-0.12,-0.08,2.07,4585.7,4,강서구,화곡6동,11160610,1150059100
51,-0.23,-0.13,1.0,4585.7,4,강서구,화곡8동,11160630,1150059300
